C:\Users\peter\Desktop\Touchscreen DOE\Subject Data\Children\TDOE_2_25_19.emrg2,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Age,SessionDate,Group,Block,BothSelected,ComparisonStimuli.ACC,ComparisonStimuli.RESP,ComparisonStimuli.RT,CorrectAnswer,NumericCorrectAnswer,CorrectAnswerL,CorrectAnswerR,Trial,FbMovie,LeftResponseStimulus,ResponseStimulus,RightResponseStimulus,Running,SampleStimulus
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,20,,0,Right,716,Left,2,,,18,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,21,,1,Left,1065,Left,2,,,19,Moana06.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,22,,1,Right,1312,Right,1,,,20,Trolls04.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,23,,0,Left,783,Right,1,,,21,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,24,,0,TimedOut,5000,Right,1,,,22,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,25,,0,Right,1587,Left,2,,,23,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,26,,0,Left,1261,Right,1,,,24,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,27,,0,Left,1599,Right,1,,,25,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,28,,0,Right,2109,Left,2,,,26,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,29,,1,Left,1559,Left,2,,,27,Moana07.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,30,,0,Left,870,Right,1,,,28,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,31,,1,Left,3567,Left,2,,,29,Moana08.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,32,,1,Right,1947,Right,1,,,30,Trolls05.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,33,,1,Left,1155,Left,2,,,31,Moana09.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,34,,0,Left,958,Right,1,,,32,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,35,,0,Right,922,Left,2,,,33,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,36,,1,Left,1245,Left,2,,,34,Moana10.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,37,,1,Right,1049,Right,1,,,35,Trolls06.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,38,,0,Left,688,Right,1,,,36,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,39,,1,Right,1316,Right,1,,,37,Trolls07.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,40,,0,Left,1392,Right,1,,,38,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,41,,1,Left,1730,Left,2,,,39,Moana11.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,42,,0,Right,827,Left,2,,,40,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,43,,1,Left,1834,Left,2,,,41,Moana12.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,44,,1,Left,4575,Left,2,,,42,Moana13.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,45,,1,Left,1301,Left,2,,,43,Moana14.avi,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,46,,0,Left,2465,Right,1,,,44,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,47,,0,Left,1170,Right,1,,,45,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,48,,0,Right,942,Left,2,,,46,Moana,,,,1,Circle_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,49,,0,Left,1567,Right,1,,,47,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,50,,0,Left,1009,Right,1,,,48,Trolls,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,51,,1,Right,1176,Right,1,,,49,Trolls08.avi,,,,1,Square_Solid.png
DOP_Adults_PracTrials_MLTR,19990007,4,1/25/19,1,52,,0,Left,1724,Right,1,,,50,Trolls,,,,1,Square_Solid.png
